dt,AverageTemperature,AverageTemperatureUncertainty
1/1/1900,17.385,0.651
2/1/1900,20.05,0.694
3/1/1900,24.958,0.463
4/1/1900,27.672,0.491
5/1/1900,29.772,0.237
6/1/1900,29.928,0.5
7/1/1900,27.609,0.637
8/1/1900,26.493,0.441
9/1/1900,25.643,0.316
10/1/1900,23.674,0.432
11/1/1900,21.122,0.341
12/1/1900,18.108,0.589
1/1/1901,16.172,0.316
2/1/1901,18.506,0.538
3/1/1901,23.703,0.386
4/1/1901,27.474,0.566
5/1/1901,29.787,0.473
6/1/1901,29.944,0.314
7/1/1901,27.522,0.415
8/1/1901,26.179,0.332
9/1/1901,26.296,0.406
10/1/1901,25.146,0.301
11/1/1901,20.879,0.352
12/1/1901,17.403,0.439
1/1/1902,17.719,0.576
2/1/1902,19.867,0.478
3/1/1902,25.17,0.289
4/1/1902,27.848,0.302
5/1/1902,30.26,0.551
6/1/1902,29.534,0.59
7/1/1902,27.214,0.473
8/1/1902,26.967,0.381
9/1/1902,25.887,0.288
10/1/1902,24.213,0.274
11/1/1902,20.255,0.216
12/1/1902,16.89,0.543
1/1/1903,16.939,0.564
2/1/1903,18.644,0.532
3/1/1903,22.983,0.421
4/1/1903,27.185,0.477
5/1/1903,29.496,0.274
6/1/1903,29.878,0.404
7/1/1903,27.564,0.445
8/1/1903,26.195,0.347
9/1/1903,26.061,0.433
10/1/1903,24.075,0.336
11/1/1903,19.707,0.495
12/1/1903,16.482,0.483
1/1/1904,16.723,0.621
2/1/1904,19.177,0.527
3/1/1904,23.349,0.336
4/1/1904,28.047,0.225
5/1/1904,29.465,0.349
6/1/1904,28.616,0.352
7/1/1904,26.408,0.42
8/1/1904,26.085,0.457
9/1/1904,25.904,0.274
10/1/1904,24.244,0.209
11/1/1904,19.988,0.324
12/1/1904,17.096,0.3
1/1/1905,15.754,0.591
2/1/1905,16.043,0.499
3/1/1905,21.969,0.378
4/1/1905,25.546,0.271
5/1/1905,30.149,0.375
6/1/1905,30.124,0.394
7/1/1905,27.231,0.36
8/1/1905,26.637,0.298
9/1/1905,26.23,0.27
10/1/1905,24.48,0.305
11/1/1905,21.126,0.333
12/1/1905,16.891,0.476
1/1/1906,16.315,0.481
2/1/1906,18.395,0.388
3/1/1906,22.443,0.256
4/1/1906,27.78,0.378
5/1/1906,30.947,0.464
6/1/1906,28.841,0.47
7/1/1906,27.041,0.374
8/1/1906,26.192,0.306
9/1/1906,25.791,0.215
10/1/1906,24.247,0.237
11/1/1906,21.004,0.197
12/1/1906,17.661,0.577
1/1/1907,17.669,0.428
2/1/1907,18.583,0.343
3/1/1907,22.283,0.197
4/1/1907,25.785,0.351
5/1/1907,28.962,0.413
6/1/1907,28.919,0.294
7/1/1907,27.661,0.278
8/1/1907,25.709,0.402
9/1/1907,26.164,0.341
10/1/1907,24.728,0.161
11/1/1907,21.125,0.358
12/1/1907,16.537,0.372
1/1/1908,16.417,0.45
2/1/1908,19.246,0.489
3/1/1908,23.22,0.281
4/1/1908,28.495,0.141
5/1/1908,29.963,0.344
6/1/1908,29.695,0.284
7/1/1908,26.375,0.284
8/1/1908,25.649,0.349
9/1/1908,25.751,0.327
10/1/1908,24.058,0.279
11/1/1908,19.831,0.385
12/1/1908,16.203,0.606
1/1/1909,16.949,0.356
2/1/1909,18.947,0.328
3/1/1909,24.33,0.239
4/1/1909,26.163,0.32
5/1/1909,29.56,0.263
6/1/1909,28.083,0.266
7/1/1909,26.132,0.428
8/1/1909,25.887,0.328
9/1/1909,25.544,0.298
10/1/1909,24.164,0.442
11/1/1909,20.99,0.286
12/1/1909,17.183,0.372
1/1/1910,16.613,0.494
2/1/1910,19.175,0.419
3/1/1910,23.656,0.241
4/1/1910,27.272,0.254
5/1/1910,29.873,0.248
6/1/1910,28.268,0.127
7/1/1910,26.461,0.195
8/1/1910,25.956,0.257
9/1/1910,25.724,0.258
10/1/1910,23.633,0.343
11/1/1910,19.419,0.295
12/1/1910,16.48,0.455
1/1/1911,17.656,0.417
2/1/1911,18.779,0.572
3/1/1911,22.388,0.323
4/1/1911,27.185,0.222
5/1/1911,30.436,0.369
6/1/1911,28.41,0.16
7/1/1911,27.672,0.231
8/1/1911,26.348,0.256
9/1/1911,25.879,0.222
10/1/1911,24.503,0.271
11/1/1911,20.135,0.356
12/1/1911,17.041,0.666
1/1/1912,17.237,0.64
2/1/1912,20.148,0.494
3/1/1912,23.552,0.349
4/1/1912,27.244,0.285
5/1/1912,30.203,0.221
6/1/1912,30.139,0.225
7/1/1912,27.001,0.174
8/1/1912,26.04,0.214
9/1/1912,25.765,0.293
10/1/1912,24.246,0.282
11/1/1912,19.889,0.255
12/1/1912,16.621,0.197
1/1/1913,16.626,0.451
2/1/1913,19.358,0.246
3/1/1913,22.333,0.2
4/1/1913,28.176,0.239
5/1/1913,29.167,0.23
6/1/1913,27.926,0.148
7/1/1913,26.644,0.283
8/1/1913,26.228,0.457
9/1/1913,26.316,0.533
10/1/1913,24.574,0.398
11/1/1913,20.15,0.311
12/1/1913,16.912,0.406
1/1/1914,17.441,0.709
2/1/1914,19.372,0.234
3/1/1914,23.091,0.255
4/1/1914,26.634,0.539
5/1/1914,29.852,0.462
6/1/1914,28.936,0.261
7/1/1914,26.629,0.23
8/1/1914,26.016,0.374
9/1/1914,25.994,0.383
10/1/1914,23.83,0.295
11/1/1914,21.017,0.396
12/1/1914,17.094,0.447
1/1/1915,17.044,0.341
2/1/1915,18.73,0.347
3/1/1915,23.344,0.359
4/1/1915,27.327,0.324
5/1/1915,30.59,0.326
6/1/1915,29.826,0.371
7/1/1915,27.691,0.382
8/1/1915,26.665,0.239
9/1/1915,26.513,0.276
10/1/1915,25.264,0.292
11/1/1915,21.429,0.455
12/1/1915,17.058,0.388
1/1/1916,17.013,0.557
2/1/1916,18.953,0.512
3/1/1916,24.942,0.54
4/1/1916,28.04,0.299
5/1/1916,30.005,0.34
6/1/1916,27.827,0.239
7/1/1916,26.899,0.262
8/1/1916,26.024,0.291
9/1/1916,25.878,0.281
10/1/1916,24.091,0.25
11/1/1916,19.943,0.385
12/1/1916,16.291,0.533
1/1/1917,16.729,0.537
2/1/1917,19.043,0.377
3/1/1917,22.795,0.44
4/1/1917,25.902,0.31
5/1/1917,27.232,0.287
6/1/1917,27.789,0.222
7/1/1917,26.52,0.495
8/1/1917,26.008,0.202
9/1/1917,25.273,0.34
10/1/1917,23.534,0.204
11/1/1917,19.416,0.568
12/1/1917,16.732,0.446
1/1/1918,15.769,0.426
2/1/1918,19.212,0.487
3/1/1918,23.433,0.333
4/1/1918,26.317,0.215
5/1/1918,29.728,0.4
6/1/1918,27.84,0.357
7/1/1918,27.898,0.215
8/1/1918,26.458,0.246
9/1/1918,26.283,0.23
10/1/1918,24.618,0.189
11/1/1918,20.936,0.402
12/1/1918,16.769,0.259
1/1/1919,17.379,0.531
2/1/1919,19.006,0.4
3/1/1919,23.94,0.316
4/1/1919,27.028,0.472
5/1/1919,29.547,0.242
6/1/1919,28.926,0.357
7/1/1919,26.703,0.244
8/1/1919,26.134,0.293
9/1/1919,25.755,0.19
10/1/1919,23.997,0.267
11/1/1919,20.701,0.299
12/1/1919,16.786,0.402
1/1/1920,17.183,0.466
2/1/1920,19.001,0.345
3/1/1920,23.686,0.233
4/1/1920,27.039,0.522
5/1/1920,28.449,0.223
6/1/1920,28.911,0.3
7/1/1920,26.793,0.237
8/1/1920,26.216,0.276
9/1/1920,26.582,0.153
10/1/1920,25.084,0.321
11/1/1920,21.209,0.434
12/1/1920,17.312,0.473
1/1/1921,17.406,0.383
2/1/1921,19.287,0.276
3/1/1921,25.23,0.212
4/1/1921,28.546,0.355
5/1/1921,31.329,0.214
6/1/1921,29.071,0.274
7/1/1921,27.418,0.404
8/1/1921,25.988,0.242
9/1/1921,25.581,0.192
10/1/1921,23.597,0.241
11/1/1921,19.844,0.222
12/1/1921,17.694,0.45
1/1/1922,16.714,0.422
2/1/1922,19.936,0.335
3/1/1922,24.374,0.32
4/1/1922,28.05,0.29
5/1/1922,30.235,0.324
6/1/1922,28.571,0.149
7/1/1922,26.724,0.252
8/1/1922,26.057,0.268
9/1/1922,25.659,0.245
10/1/1922,23.727,0.262
11/1/1922,20.33,0.287
12/1/1922,16.476,0.323
1/1/1923,16.819,0.344
2/1/1923,18.654,0.269
3/1/1923,23.688,0.234
4/1/1923,27.823,0.206
5/1/1923,29.656,0.252
6/1/1923,30.522,0.229
7/1/1923,26.731,0.209
8/1/1923,25.892,0.173
9/1/1923,25.886,0.212
10/1/1923,23.607,0.212
11/1/1923,20.255,0.33
12/1/1923,17.378,0.601
1/1/1924,16.724,0.325
2/1/1924,19.565,0.297
3/1/1924,24.943,0.359
4/1/1924,28.324,0.36
5/1/1924,29.211,0.307
6/1/1924,30.129,0.237
7/1/1924,27.041,0.231
8/1/1924,26.29,0.269
9/1/1924,25.406,0.222
10/1/1924,23.917,0.234
11/1/1924,19.87,0.218
12/1/1924,17.132,0.201
1/1/1925,15.629,0.545
2/1/1925,18.131,0.449
3/1/1925,23.903,0.416
4/1/1925,28.372,0.272
5/1/1925,29.13,0.302
6/1/1925,28.113,0.332
7/1/1925,26.223,0.233
8/1/1925,26.282,0.239
9/1/1925,26.33,0.178
10/1/1925,24.584,0.244
11/1/1925,20.413,0.527
12/1/1925,16.841,0.397
1/1/1926,17.236,0.328
2/1/1926,20.375,0.307
3/1/1926,23.152,0.309
4/1/1926,25.739,0.253
5/1/1926,29.002,0.399
6/1/1926,30.733,0.221
7/1/1926,27.488,0.317
8/1/1926,26.283,0.306
9/1/1926,25.774,0.151
10/1/1926,24.051,0.377
11/1/1926,19.354,0.324
12/1/1926,16.981,0.303
